snapshot date,snapshot timestamp,event id,event name,event datetime,venue,listings counted,low price,median price,high price,currency,stubhub url,median method
20260226,2026-02-26 19:20:38 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,221,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260226,2026-02-26 21:57:52 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,221,43.39,82.90,1133.56,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260226,2026-02-26 23:33:55 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,222,43.39,82.90,1133.56,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 01:17:37 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,235,43.39,82.90,1206.29,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 03:12:31 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,235,43.39,82.90,1206.29,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 05:12:54 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,235,41.49,83.13,1150.32,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 07:10:24 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,234,43.39,82.90,1206.29,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 09:15:14 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,244,43.39,82.90,1206.29,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 11:14:22 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,244,43.39,82.90,1206.29,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 13:10:50 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,243,43.39,82.90,1133.56,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
