snapshot date,snapshot timestamp,event id,event name,event datetime,venue,listings counted,low price,median price,high price,currency,stubhub url,median method
20260222,2026-02-22 20:10:15 EST,157634620,Big Ten Women's Basketball Tournament - Session 3,2026-03-05T18:30:00,Gainbridge Fieldhouse,50,14.09,36.72,177.36,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-5-2026/event/157634620/,histogram-weighted-midpoint
20260222,2026-02-22 20:10:23 EST,157634620,Big Ten Women's Basketball Tournament - Session 3,2026-03-05T18:30:00,Gainbridge Fieldhouse,50,14.09,36.72,177.36,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-5-2026/event/157634620/,histogram-weighted-midpoint
20260222,2026-02-22 21:04:02 EST,157634620,Big Ten Women's Basketball Tournament - Session 3,2026-03-05T18:30:00,Gainbridge Fieldhouse,50,14.09,36.72,177.36,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-5-2026/event/157634620/,histogram-weighted-midpoint
20260222,2026-02-22 21:05:27 EST,157634620,Big Ten Women's Basketball Tournament - Session 3,2026-03-05T18:30:00,Gainbridge Fieldhouse,50,13.21,36.83,163.83,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-5-2026/event/157634620/,histogram-weighted-midpoint
20260223,2026-02-23 04:19:47 EST,157634620,Big Ten Women's Basketball Tournament - Session 3,2026-03-05T18:30:00,Gainbridge Fieldhouse,51,14.09,31.87,177.36,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-5-2026/event/157634620/,histogram-weighted-midpoint
20260224,2026-02-24 04:19:09 EST,157634620,Big Ten Women's Basketball Tournament - Session 3,2026-03-05T18:30:00,Gainbridge Fieldhouse,80,14.09,35.25,177.36,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-5-2026/event/157634620/,histogram-weighted-midpoint
